ID,Paragraph,LatentClasses,LatentClassNames
89,"Abortions shouldn't be illegal, all that does it create dangerous ways for women to still get abortions. Men who biologically cannot carry a baby shouldn't determine whether women should be forced to have them or not. There are many reasons to terminate a pregnancy besides life threatening ones and that's okay. There should still be ability to choose. Men can get multiple women pregnant at once yet one a women is pregnant she is out of commission (for a lack of better words) for almost a year, yet we are the ones being controlled. People claim they're pro life but they don't care about the life already here, those in foster care go through hell but they don't care about that, put the baby up for adoption as if it's that easy to even adopt a baby. People have to jump through hoops to prove they can be good parents just to adopt one child so many people don't pass the assessment nor have the patience fr it but you want all these women to have babies they don't want and just shove them in the foster care system. If abortions become illegal then the man that helped make said baby should be forced to take care of the mother & the baby since the women is being forced to have it.",1,apaths
93,"I choose abortion. I feel like the government has well overstepped their boundaries overturning this law. The men that made this decision are disgusting. If it was one of their daughters, sisters or wives who were ever raped, sick or in a predicament where they would need to have an abortion, they would be sick with themselves., These services are something that needs to be available everywhere for women all over the USA.",1,apaths
96,"I believe that drugs should be legalized. The reason I believe this is because people are going to do drugs whether they are illegal or not. So if they are going to do drugs, then you might as well make sure that the  drugs they are taking are tested and regulated. The more regulated they are the less violence surrounding drug trafficking as well. Legalizing drugs would also create a lot more job opportunities, improving the economy. It would also help with the stigma surrounding drugs and I feel that people would be more likely to ask for help if they are suffering from addiction, as well as have more support and understanding from other people.",1,apaths
100,"I think specific drugs should be legalized. For example, cannabis should be federally legal across the board. More states are recreationally and medically legalizing it. There is science behind how it can help medicinally such as cancer patients and for pain management. And it is better than prescription pain killers that contributes to the opioid crisis. Shrooms and psychedelics as well are becoming more popular with helping with mental health issues which is also itself become more of an issues in the past few years.",1,apaths
107,"Making abortion illegal is one of the most abhorrent things you can do to women. Especially when we have bad social safety nets in place, restricted housing, and the highest medical bills in the world.",1,apaths
113,"Abortion should be a legally protected right. The arguments being made about ""killing babies"" is absolutley ridicolous. If a baby is a bay at like 20 weeks and not collection of cells, then take it out of the mother..... Yeah, its not a baby. To force a person into delivering a human into this world is not only medically dangerous but mentally devastating. The united nations labels forced birth a s a war crime. Quite frankly, I agree. Taking away abortion is a slippery slope to taking away more and more rights from women. This ""debate"" is only a debate because of evangelacist christians who believe in every baby being born.... until that baby is born and forget about them. I can event describe how scared I am for the future oif this country.",1,apaths
115,I think vaccines should be mandated to help stop the spread of diseases.,1,apaths
118,"I believe abortion should be legal. In certain cases, it is what's best for the physical and/or mental health of the person getting. it is also simply the person's right and choice what happens to their body and not anyone else's. Having a child is a world-altering event and should not be a choice to be ripped away.",1,apaths
121,"Standardized tests should not exist anymore. I firmly believe that it is unreasonable to use a score from a single exam to determine eligibility to enter a school. For example, what if someone has good grades but they do very poorly on the standardized exam? They don’t get to go to a good school because of a test? I also believe that grades shouldn’t be a determining factor for intelligence because numbers do not define people.",1,apaths
124,"I feel like abortion should be legal because it's a woman's choice whether she wants to go through the complications of childbirth and the struggles of raising a child because 7/10 the if the parents are split, the child goes with the mother.",1,apaths
129,I feel that mandating vaccines is a breach of our personal choices we should be allowed to make.,1,apaths
130,Drugs I’m pro it because if you listen to a lot of research microdosing has really saved a lot of peoples lives and make positive changes to your daily life.,1,apaths
134,"I believe the abortion should be legal because not only does outlawing it go against the constitution, it also results in the deaths of countless women. In the constitution they say that church and state are to be seperate. Fetuses are only considered people under modern Christianity, and thus this violates that construct. Beyond that, many women die during childbirth, and know they will in advance.",1,apaths
135,"I believe America should defund the police. There are so many injustices taken place where people of color are being attacked due to oppression as demonstrated by police. Evidence proves giving more money to the police, worsens the situation for people of color and perpetuates racism. This situation has affected me at a personal level where cops are incredibly oppressive for very minor offenses. Ordinary people should not have to lose their lives over cops that take no accountability for their actions.",1,apaths
137,"Defund the police. They don’t need so much money, when other areas like education are so low on cash. Them having all of this money also is what makes them so powerful, which can lead to racist actions being swept under the rug",1,apaths
141,I believe abortion should be legal for a plethora of reasons. Not everyone should be forced to be a parent if they dont want to be and women who have been sexually assaulted should not feel the pressure of having to carry through a pregnancy they dont want. I would prefer children be born into situations where they are loved and welcome and if that means a clump of cells in a small sac have to be destroyed then so be it.,1,apaths
142,"Defunding the police. I do not believe that we should defund the police because it does not seem to target the source of frustration for many people. I believe that greater training, more effective background checks, and greater resources would likely result in police forces that are more prepared to engage with the public and deescalate tense situations without the use of lethal force. These improvements require greater funding, not less.",1,apaths
146,"I support a vaccine mandate while allowing for minimal exceptions based upon medical criteria. No religious exemptions. The COVID-19 pandemic is continuing and additional, more contagious variants keep appearing because so many people have not received even one dose of a COVID-19 vaccine. It is a public health crisis that affects our most weak and vulnerable, elderly and low income. How we treat the most vulnerable members of our society says a lot about our society.",1,apaths
148,"I think that all drug use should be legalized, but selling hard drugs should remain illegal. I believe resources are better spent trying to help addicts rather than put them in jail. I think that some drugs are arbitrarily banned when the effects of alcohol are so much worse.",1,apaths
150,"I fully support legalizing abortion again. I think that the government should not be able to control and regulate the ability for women to do things to their own body. Pregnancy is dangerous in some situations, and can affect women physically and mentally, taking a huge toll on their body. Forcing women to give birth can injure and sometimes kill them. You should never regulate something like that",1,apaths
153,"Legalizing abortions : against 
As a women that does not want a baby, if I accidentally get pregnant I works like to have an abortion. If something goes wrong in my pregnancy I would like to have an abortion. I think women should be able to have the option to have one if needed.",1,apaths
160,"The topic I choose is defunding the police. I think defunding the police will reduce them just accepting anybody as a cop and will make sure they take people who are dedicated and have the passion for the job and protecting the lives of the citizens also, if they get defunded then it means many people will lose their jobs and the streets won't be safe anymore. There will be increase in crimes and loss of lives so to me I think they shouldn't be defunded but instead, there should be good training and management to bring out the best in them.",1,apaths
165,"Abortions should be legal for everyone. When safe abortions are available you don't have to get one if you don't want to or don't agree with it. Removing access to abortions all together is harmful to anyone who may want one someday. There are countries where abortions are illegal and you can check their statistics, they still try to have abortions and many times the pregnant person is harmed or even killed. If abortions are made illegal then financial support must be provided to the person giving birth and/or orphanages and foster homes.",1,apaths
166,I think drug use should be legalized with controls. Much like Amsterdam drugs are available to adults. There will be a drop in drug related crimes. It is up to the adult to use and a real abuser cannot be stopped with penalties. We need to trust society to police themselves. Alcohol is legal and the vast majority of people don't drink themselves to death.,1,apaths
167,"Defunding the police. While I get the reason some people have. Mainly  to give less power to the polic, I think that is a horrible idea. The police are what protects us the people and upholds the law. It make little sense to take away funding that they may need to protect human life.",1,apaths
171,"I am writing about making illicit drugs legal. I do not agree with legalizing illicit drugs. Right now, as it is, people are abusing drugs and dying from overdosing. They do not need for illicit drugs to be legalized just so they can abuse them and go too far with them. Some people don't know when to quit/when to say ""enough is enough"" (some people do). Since not everyone knows when ""enough is enough,"" illicit drugs should not be legalized since they can be abused.",1,apaths
173,My position in standardized testing is that I think they should have tests for students to allow them to see if they are ready for college and allows them to see where they stand with verbal and math.,1,apaths
178,"This War on Drugs will never end unless we decide to make drugs legal. Let the government get the tax money from all the drugs that are bought. I've been successful with alcohol, with marijuana. Is the time to just legalize all of the drugs so we won't have as much crime. There will be more tax money to use for the homeless battered women missing people",1,apaths
180,"In regards to vaccine mandates, I hold the view of opposition. The main reason I hold this view is because people should ultimately have the freedom to decide what goes into their body. Also, there could be moral and religious conflicts depending on the vaccine type as well as long-term side effects that weren't properly accounted for during the development and testing process, although typically low-risk. However, I am not opposed to certain places requiring vaccines to be on premise and around vulnerable people, such as hospitals or nursing homes.",1,apaths
181,Vaccines should be mandated to protect the public and create herd immunity.,1,apaths
185,"As a black man, I firmly believe that affirmative action should be abolished. I think it makes people think they can get somewhere just because of the color of their skin. Whoever is more qualified and suited for the job should always get it.",1,apaths
186,I believe that abortion should be Legal. I dont believe that anyone should have legal authority over anyones body but the women involved with the abortion. I believe that women should be allowed the ability and anononimity,1,apaths
187,One of the issues were about abortion being illegal. My position is that it should be legal because it is a woman's choice to go through that process since it is her body. I do think there should be a certain term that is considered to far in to follow through the process.,1,apaths
190,I do not think vaccinations should be forced upon us. I think I should be able to decide what goes into my own body. We have no idea what are actually in these vaccines and what harm they may do to us in the future. That should be MY decision.,1,apaths
191,"Vaccinations are important for the overall health of society. I understand parents that refuse, because I also have a kid that has adverse reactions, EVERY TIME, and has even ended up in the ER multiple times after a vaccination. However, he lives. And he helps his community by being immunized against the things can can threaten it, and the lives of his friends and himself. we sometimes delay a vaccination, and as an honesty-check, he still can't get his Meningococcal B vax because it shuts his system down for some reason and we end up having to have him admitted, but he gets every vaccine he can. his brothers will not be at risk because we all stay vaxxed in this house. When pandemics happen, or epidemics, or flu season, we all minimize contact and get what we can for shots that are recommended, because it's not about just us. If it was, I would never put my son through the stuff that makes him so sick and scared sometimes after a shot. but it just isn't all about him, or me, or our comfort. It is about all of us.",1,apaths
193,"I strongly support a mandatory vaccine mandate because when infectious diseases become a public threat, the vaccine is the only way the public can recover and go back to normal fast. If everyone in this country is vaccinated, they will be less likely to catch and spread the virus to other people. And vulnerable people who catch the virus will be less likely to be gravely ill and spread it to other people. We've seen vaccines work before with Polio and they are safe. However, when only a bit more than half of the population of a country is vaccinated, those who are unvaccinated will keep on catching the virus and spreading it around, potentially spreading it to vulnerable people who even after getting vaccines still have a low immune system, such as people with transplants, cancer, etc.",1,apaths
195,I support mandated vaccines because I believe it would help to prevent future pandemics. And also for public safety.,1,apaths
197,"I think the majority of drugs should be legal. The government does not get to take away freedoms of someone to their individual body regardless of societal consequences. The idea that by putting away drug users (non violent, or violent) we are significant increasing safety with society is propaganda to silence those who are screwed by the system. So their credibility and power is taken away. Drugs do not have as big of a negative impact as society and the government makes us what to think. The real causative negative impact on our society comes from big corporations and WASPs.",1,apaths
200,"I am for defunding the police IF that means money is directed to programs and people called in place of the police for calls that deal with mental health issues or other de-escalatory type situations. I do not believe Police should not be eliminated entirely as power vacuums only encourage more violence. Police officers should be trained like nurses, doctors, and other professions, out of their own individual pockets so that when they are on the job they have thoughtfully prepared and lead with measures to deescalate incidents and use force only when necessary. I believe this because I have two family members that are LEOs and I have heard a lot about the culture fostered in police forces. They are militarized and have an Us VS. Them mentality that leads to violence over de-escalation and is born from lack of deep training and police culture.",1,apaths
202,"Abortion is a complicated topic, but it is unethical to not give a mother options in the cases of rape, incest, young age, divorce, poverty, health risks, etc.",1,apaths
206,"Abortion should be legal.  Noone should be told what to do with their body.  If someone was raped, underage and unprepared, on drugs.  There are so many reasons people may want an abortion and we should respect these decisions.",1,apaths
210,"I can't understand a world in which drugs could be legal, though it depends on the drug. Something dangerous like meth should never be legalized. It sets a horrible precedent that we can't control a problem and so we just legalize it. Drugs are dangerous for the users and for the people having to interact with the drug users. Making it legal will expand access and make the problem greater. There is no societal ""good"" to most illegal drugs. This isn't something like alcohol, that can be used in moderation and safely. Most illegal drugs are ALWAYS a danger to the user and the public.",1,apaths
213,"I strongly oppose the removal of standardized tests. As someone who had to take several of these tests when I was a student, I find these tests redundant, and have no meaning in my future. I took these tests just to get into a college and study a profession that has nothing to do with anything that was on those tests. Since some universities only accept you if you have a certain score on these tests, stress tends to build up on students wanting to get a good score.",1,apaths
216,"I think drugs should be legalized because it would to people commit less drug related crimes. Additionally, some famous people face almost no repercussions when it comes to drug related crimes, so why are less fortunate people punished so heavily?",1,apaths
219,"I believe abortion should be legal because no one has a right to tell a women what to do with her body plain and simple. That person will just have to deal with any mental consequences that may arise but it’s better than making a women have a baby she doesn’t want. And what if a medical emergency deems it medically necessary , lost of one or even two lives could have been prevented. So it all boils down to womens choice!",1,apaths
225,"I am pro affirmative action because people of color historically are disadvantaged in society and in education. Therefore, they do not get the same opportunities as caucasian people to have access to good education, tutors, safe schooling ,etc.",1,apaths
228,I think vaccines should be mandatory since it'll help decrease and elimnate the spread of diseases. An example of this is Smallpox. It was very common for people to have until most people became vaccinated which almost elimnated it for future generations to the point where we don't need to take  a vaccine for it. There's other examples with different diseases like polio or syphilis.,1,apaths
229,"You have to get vaccinated.  It's a moral imperative.  There is no science against it, only weaponized propaganda.  Folks not vaccinating and not socially distancing is why the pandemic exploded the way it did.  It is selfish to worry more about your freedom NOT to get vaccinated when that course of action contributes to the death and suffering that has changed all of our lives so very drastically.",1,apaths
230,"On the topic of defunding the police, I believe it would be a horrible idea. The main reason is crime would run rampant. I understand the position that people want to defund them because of brutality, but you can not have a society has no order. Possibly better training and making officers lose their jobs, and pay restitution, when they abuse power would be a better solution",1,apaths
233,"I have no problem with weed being legalized. I have many friends who smoke weed and they never get violent or agresive. 
It would also benifit the community.",1,apaths
236,"With standardized tests, my position is that there should be an alternative if the student is not proficient in testing. Just because the student didn’t get the right answer on the test does not mean that through different testing metrics that the kid didn’t know the answer. I hold this opinion because for my ACT score I received the same score three different times. I am not great at tests but I am not terrible but if there was some other way to test knowledge then I may have gotten more scholarship funds for school.",1,apaths
238,"Abortion should always be legal. It is an individual choice that should be able to be made by each woman in their individual situation. While extreme cases, such as rape and possible life-threatening consequences for the mother, exist, there are day-to-day decisions that should remain only for the individual affected to make. Women who cannot afford to travel to relieve medical procedures are unfairly forced to remain pregnant and birth children they may not want to have. In my opinion all decisions regarding a person's body should be hers alone to make.",1,apaths
239,"I am against vaccine mandates, because members of my family have had heart complications due to the covid vaccine. I am not against the vaccine in general though. I believe it helps society as a whole",1,apaths
240,I support defunding the police because they have proven time and time again that they really do not put that money to good use. The money the police waste could go into other neglected parts of our communities. Mental health and schools would be better things to support. Police don't need money for fancy cars and weaponry when they just use them for wrong purposes.,1,apaths
241,abortion. defund police vaccine mandate chose for self consider safety,1,apaths
244,"I think that vaccines should be mandatory for all those who can safely take them, in order to protect children and those with compromised immune systems",1,apaths
249,I don't think standardized tests should be taken away - I think we can solve the issue by providing funding to low income students who wish to apply to college but may not be able to afford the test.,1,apaths
250,Drug kegalization,1,apaths
253,"I think getting the vaccine shot is the most important one, and because who did not get the shot made Covid here to stay same people who did not want to stay home in lock down around 2020",1,apaths
259,"Defunding the police
I am against this. We need more training and resources for police officers. They are protecting the public from criminals and help communities in many other ways. People who want to defund are not protecting these officers who risk their lives for us each day. If we have less or no police presence crime will be out of control more than it is and people will behave like the wild west.",1,apaths
271,I'm slightly oppose about defunding police because that decision will affect many police officers that are innocent and really want to make justice in the right way.,1,apaths
275,I feel like most drugs should be federally legalized or at least decriminalized. I don't want the government telling people what they can and cannot put in their bodies. Also I feel like we need to increase federal revenue and this is a great way to do it.,1,apaths
280,"I think abortion should be legal because it's a medical procedure that doctors (who have years of experience and are under constant license review) would know how to handle for each individual best, not law makers.",1,apaths
281,"Abortion should be legal because that is a woman's choice. A woman should have control over her body. If abortion is made illegal, it carries the risk of more abandoned children, more kids in foster care, more ways to have illegal abortions, more deaths of mother and child, and more rapes.",1,apaths
282,I support the decision to legalize any drugs for personal use for the simple fact the stigma behinds these drugs do more harms than helps people since they have to hide usage.,1,apaths
289,"I think abortion should be legal. There are many reasons why women get abortions, and frankly, I think the health and safety of the women already present on this earth are far more important than that of an undeveloped fetus. One reason why someone might get an abortion is that they have health issues that prevent them from having a safe pregnancy. Having a child could put their life at risk. If I was given that decision, I would choose my own life, no question. Another reason why someone might need an abortion is that they were raped. I believe that having to carry a child to term that was the product of something so traumatic could be deeply damaging to the mental health of the person carrying it. Abortion should be legal to ensure the health and safety of anyone with a uterus.",1,apaths
290,I think that the police should not be defunded. Defunding and taking money away from them would only lead to worse problems than what we currently deal with now.,1,apaths
291,"I guess with vaccine mandates and forcing people to get the vaccine, I think that the idea in theory is a strong one but that like everything, people take it too far. You should not be treated like a secondary citizen for not wanting to become vaccinated and there shouldn't be anything that forces any person to do something that they do not want to do. This is why I believe that I would oppose any sort of mandate that makes it harder for the average person to live their lives.",1,apaths
294,I think all drugs should be legal. I think by making them illegal you just add to the mystery and make people want to try them. trying a drug one time bc you are curious could be your last bc so much is cut with fent these days. It is now safer to have fda approved forms of all drugs and have safe using sights to reduce deaths and harm,1,apaths
295,"I think drugs should be legalized, to cut down on people in prison for nonviolent offenders, the user can have access to clean drugs and clean needles, it's safer, and if someone overdoses and dies it's Darwinism in action.",1,apaths
297,"I think abortion should be legal. I don't see a logical reason that it shouldn't be. Religion doesn't belong in our laws. Women should have the right to choose. In instances of rape, incest, and overall health and life of the mother I don't understand how a doctor could deny a woman an abortion. It shouldn't even be a discussion.",1,apaths
300,"Legalizing drugs could help reduce deaths. There would be less laced drugs, less violence in dealing situations, less people sent to jail for using and therefore less jail deaths, etc. Supplying drug users with a place to consume socially and responsibly could create more jobs also, similar to bars. If someone is obviously having too much, they are cut off, similar to drinking at bars.",1,apaths
303,"I believe abortion should be legal for many reasons.  Most paramount would be the health of the mother and her right to choice.  Sometimes there are terrible things that happen ( rape or disease), which would cause the mother to either not want to or not be able to carry a baby to term.  There is no reason that she should have to drive hours out of state to try to make her choice in a state where it is allowed.",1,apaths
306,The issue I choose is the legalization of drugs. My position is pro legalization. The War on Drugs has been a castastrophe and has not achieved the outcomes it was designed for. We need to take a different approach to drug addiction and fight it at its source. Drugs being illegal has not reduced the number of people addicted to substances. It has also been a disaster when it comes to incarcerating non violent offenders who need help not punishment.,1,apaths
307,"Vaccine mandates.
I'm very against vaccine mandates. Covid vaccine hurt several people I know and they will never be the same because of it.",1,apaths
310,Vaccine mandates go against the foundation on which this country was built. It’s anti-American.,1,apaths
321,"I think police should be defunded because it doesn't mean completely taking away their funding, but better allocating it after analyzing what the people's taxes are actually spent on. There are many poorly trained officers that don't do any real serving of the people, as many bodycams and news reports have shown. Our prisons are overpopulated and a problem for another study- but many officers have their own personal agenda they follow rather than the actual law. If not drastically cut then resources need to be reallocated for better training and ethics.",1,apaths
326,No position really,1,apaths
330,I am opposed to mandatory vaccinations only because I think that everyone should be able to decide if they want to vaccinated. Even when I had COVID I did not want to get a vaccine.,1,apaths
336,"I truly believe standardized tests should be thrown out because they truly serve no one. They do not serve the teachers because they have to waste precious time to teach for the tests instead of teaching their set curriculum and only upper class schools have separate classes for them to learn the SAT/ACT information from. The kids do not benefit because there is nothing to be learned from standardized tests and it's simply a tool to use against underprivileged children when trying to attend colleges. Lastly, even the state does not benefit because there are way more underfunded schools than funded ones so the number of college attendees will drop and badly represent these underfunded schools.",1,apaths
337,"I don't think the police should be defunded. They aren't interested in where policy may go in the future or where it is leaning now; they are strictly there to enforce civility by enforcing the law. However, in spite of this, there are instances of police not strictly enforcing every law absolutely. When treated with respect they are often understanding and they will respect your rights regardless. Though there are cases where this is not true, these would be fringe cases that should be dealt with individually, not by defunding the police. All black market trade is only profitable due to enforcement by the law. Even if you would not turn to the police for help, who is your grandmother going to turn to for help when there is no one else?",1,apaths
342,"abortion should be legal. any individual should hold the power to decide and choose for their own body. 
especially when the choice could mean life or death due to health complications, or be a decision one should be able to make if a victim of sexual violence. 
additionally, contraceptives and education and knowledge on them isn't readily available for everyone and at no fault of their own/ the individual, so they should not be punished and have the choice. 
I've had two abortions myself in DV situations.",1,apaths
350,"I oppose drugs being legalized because there are far too many consequences compared to the benefits. Although some may argue about the benefits that legalizing drugs can bring, no matter how they argue, they can't avoid the truth about the consequences. At most these people will sweep the consequences under the rug or pretend not to know in order to push the legalization for their own ulterior, greedy purposes. It's the truth, drug legalization will bring a lot of income, not only to the grey side of the world, but also the so-called 'upright' government. There are lots of interests involved for those already in power, and many of them are for this purpose. On the other hand, it's the people that will suffer. Crime rates will rise even further, the people's money would flow into the drug overlord's pockets, and the low-class people will be puppets under the control of whitewashed crime syndicates.",1,apaths
354,"I think certain drugs like THC for example, should be legalized because both alcohol and cigarettes are legal, and both of those are far more harmful. There's no fatal overdosing on THC, unlike some other drugs, so I can understand SOME restriction. However, I don't believe marijuana, or it's THC component should be on that list.",1,apaths
372,"I am generally pro-choice when it comes to abortion. In my eyes, abortion is a necessary medical procedure for many people who may be put in danger if the pregnancy is not aborted. We have seen recently what illegal abortions lead to. Women have faced life threatening situations because they couldn't abort the pregnancy, and some have had life changing side effects because of it. On top of that, illegal abortions do not prevent abortion, they prevent safe abortion. Women will still abort their pregnancy if they are motivated enough, and personally, I don't think a woman should be put in danger for wanting an abortion. Why is it better for a child to be born into a family that doesn't want them and potentially be neglected and abused?",1,apaths
374,"I believe abortion being illegal is a ridiculous notion. Women should have the option to choose if they want to abort their unborn child. This is due to a multitude of reasons as to why abortion can actually help save the life of a laboring mother who may suffer from birth complications. In addition, having an abortion for cases such as rape or because the family may not be financial up to par is something that should be available as an option.",1,apaths
388,"I personally support the abolishment of standarized tests. I don’t think it’s fair to have a “one size fits all” exam determine educational placement. I personally did terribly on my SATs and GREs because I struggle with the standarized test system. There should be other factors that determine placement, not just an exam. These tests are also expensive - the actual exam and the study materials. Those with less money are at a disadvantage. It’s just not a fair system.",1,apaths
391,This is work is hard. And i developd words and  ew thinking. And using some bad isusses.,1,apaths
393,I chose affirmative action because it is still hard for many black people that are still dealing with prejudice today. It will still take a long time for it to end but we need to keep it enforced into society today,1,apaths
397,"I choose abortion rights as one of the three issues that I was presented with. My position about abortion rights is that every woman should have the right to abort her pregnancy. I hold my opinion about abortion rights because I think it is unfair for women to not have the choice with their own bodies on whether or not they can give birth. Many people are also unfit to be parents, and it would be unfair to children to be born to people that are irresponsible.",1,apaths
398,"I think abortion should be legal because of the fact that forcing pregnant folk to give birth can endanger both lives, lead to abandonment or abuse within the foster system, and gives the pregnant person less control over their own body and agency.",1,apaths
401,"Abortion is a basic medical right, and the fact that the decision to make it illegal is determined by people unable to get pregnant is enough of an indication that we're doing something wrong here",1,apaths
402,"I think drugs should be legalized, because it would reduce the number of incarcerated people and it would make it easier to help people when they're not constantly worried about being arrested. Drugs being illegal doesn't stop people from doing them and drug addicts shouldn't be incarcerated for their addiction.",1,apaths
406,"I understand and accept some level of vaccine mandates. Personally, I am happy to receive them since I know I am healthy enough to aid in herd immunity. My hesitation with more extreme mandates (entertainment venues, government work, etc) comes from knowing someone who has many health issues but is having a very hard time finding a physician who can explain what is wrong. Them, and people like them, should not have to sacrifice good means of living and social time because they are uncomfortable getting a vaccine they do not know will harm them or not. A lot of times, those people are living on the fringes of society, living in poverty, and/or struggling to get by, and cutting access to many such things isolates them further, despite their willingness to take other precautions. The whole point of herd immunity is to get ENOUGH people vaccinated to prevent further mutations and outbreaks, but not everyone is able to receive a medical or religious exemption, and those who toe the line are stuck suffering from excessive mandates.",1,apaths
407,"I believe that we should make vaccines mandatory. Getting vaccinated helps prevent you and others from getting sick. It will stop the spread of certain illnesses. People who have weak immune systems due to health problems, won’t die because they won’t have to worry about something like a flu spreading.",1,apaths
413,"Abortion should be legal. It is sometimes even medically necessary, to save the life of the mother. Regardless of if it is medically necessary or not, a woman should be allowed to choose what to do with her own body.",1,apaths
414,I believe abortion should be legal because in our constitution everyone is given the right of their person and when laws are made to stop abortions it strips the autonomy away from the women in the country to fall in line with a patriarchal agenda. It is dangerous to make abortions illegal because women will still get them they will just be unsafe,1,apaths
